"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"24,31";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ BEBIDAS VEGETAIS \ BEBIDA SOJA";"350,000";"8";"7,05";"2.467,30";"0,00";"0,00";"0,00";"0,00";"1,70";"596,53";"0,00";"24,18";"36,32";"26,64";"1.809,95";"1.642,55";"0,00";"0,00";"0,00";"228,23";"0,00";"0,36";"2,66";"0,00";"596,53";"0,00";"26,64";"284,828";"0,01";"270,800";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,31";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ BEBIDAS VEGETAIS \ BEBIDA VEGETAIS ESPECIAIS";"15,000";"1";"21,98";"329,70";"0,00";"0,00";"0,00";"0,00";"7,32";"109,79";"0,00";"33,30";"49,92";"33,30";"219,91";"219,91";"0,00";"0,00";"0,00";"0,00";"0,00";"0,06";"0,60";"0,00";"109,79";"0,00";"33,30";"15,795";"0,00";"15,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,31";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ CERVEJA \ CERVEJA";"231,000";"3";"4,78";"1.103,39";"0,00";"0,00";"0,00";"0,00";"1,17";"270,99";"0,00";"24,56";"32,56";"24,56";"832,40";"832,40";"0,00";"0,00";"0,00";"0,00";"0,00";"0,05";"1,59";"0,00";"270,99";"0,00";"24,56";"66,216";"0,00";"76,490";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,31";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ CHA, ISOTONICO, BEB MISTA \ BEBIDA MISTA N.ALCOOLICOS";"395,000";"6";"2,75";"1.087,45";"0,00";"190,07";"0,00";"17,48";"0,96";"379,01";"0,00";"34,85";"53,50";"34,85";"708,44";"708,44";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,50";"0,00";"379,01";"0,00";"34,85";"85,981";"0,00";"70,400";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,33";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ CHA, ISOTONICO, BEB MISTA \ CHA PRONTO";"2.127,000";"24";"7,03";"14.962,93";"0,02";"7.463,69";"0,01";"49,88";"1,99";"4.234,02";"0,02";"28,30";"39,46";"28,30";"10.728,91";"10.728,91";"0,00";"0,00";"0,00";"0,00";"0,00";"2,39";"17,65";"0,00";"4.234,02";"0,02";"28,30";"2.969,743";"0,06";"1.085,700";"0,033";"453.422,121";"0,00";"0,00";"0,00"
"24,34";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ CHA, ISOTONICO, BEB MISTA \ ISOTONICO";"1.347,000";"11";"4,87";"6.560,09";"0,01";"5.114,75";"0,01";"77,97";"0,81";"1.093,52";"0,01";"16,67";"20,00";"16,67";"5.466,57";"5.466,57";"0,00";"0,00";"0,00";"0,00";"0,00";"0,25";"6,37";"0,00";"1.093,52";"0,01";"16,67";"717,582";"0,02";"143,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,34";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ ENERGETICO \ ENERGETICO GARRAFA";"29,000";"1";"9,99";"289,71";"0,00";"289,71";"0,00";"100,00";"3,00";"87,00";"0,00";"30,03";"42,92";"30,03";"202,71";"202,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,06";"0,54";"0,00";"87,00";"0,00";"30,03";"61,915";"0,00";"58,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,34";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ ENERGETICO \ ENERGETICO LATA";"354,000";"9";"9,34";"3.305,26";"0,00";"1.020,54";"0,00";"30,88";"2,00";"707,20";"0,00";"21,40";"27,22";"21,40";"2.598,06";"2.598,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,43";"4,12";"0,00";"707,20";"0,00";"21,40";"145,539";"0,00";"102,011";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,35";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ REFRESCOS \ REFRESCOS PO";"7.919,000";"18";"1,14";"9.022,55";"0,01";"4.067,30";"0,01";"45,08";"0,28";"2.178,46";"0,01";"24,14";"67,66";"40,35";"5.381,59";"4.197,93";"0,00";"0,00";"0,00";"2.646,16";"0,00";"0,02";"12,61";"0,00";"2.178,46";"0,01";"34,16";"142,282";"0,00";"126,444";"0,000";"0,000";"0,00";"0,00";"0,00"
"24,36";"8";"08 - MAGARÇA : MERCEARIA \ BEBIDAS NAO ALCOOLICAS \ REFRESCOS \ REFRESCOS PRONTOS";"3.684,000";"18";"2,92";"10.771,90";"0,01";"3.959,89";"0,01";"36,76";"0,92";"3.394,97";"0,02";"31,52";"46,20";"31,60";"7.367,69";"7.358,50";"0,00";"0,00";"0,00";"18,43";"0,00";"1,09";"15,81";"0,00";"3.394,97";"0,02";"31,57";"2.583,697";"0,06";"911,165";"0,000";"0,000";"0,00";"0,00";"0,00"
