"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"47,61";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ BOLO FP";"334,604";"19";"34,26";"11.463,50";"0,02";"0,00";"0,00";"0,00";"13,77";"4.608,14";"0,02";"40,20";"146,38";"59,41";"4.652,71";"3.598,55";"0,00";"0,00";"0,00";"3.256,81";"0,00";"9,83";"73,70";"0,00";"4.608,14";"0,02";"56,15";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,61";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ BOMBA FP";"3,856";"1";"45,99";"177,35";"0,00";"0,00";"0,00";"0,00";"12,93";"49,85";"0,00";"28,11";"71,60";"41,73";"103,35";"75,66";"0,00";"0,00";"0,00";"51,84";"0,00";"0,01";"1,08";"0,00";"49,85";"0,00";"39,72";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,61";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ BRIOCHE";"65,346";"7";"48,84";"3.191,18";"0,00";"0,00";"0,00";"0,00";"16,84";"1.100,51";"0,01";"34,49";"129,05";"56,34";"1.393,23";"1.229,59";"0,00";"0,00";"0,00";"861,08";"0,00";"2,75";"21,03";"0,00";"1.100,51";"0,01";"47,23";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,61";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ BROA FP";"25,082";"1";"28,99";"727,21";"0,00";"0,00";"0,00";"0,00";"12,30";"308,40";"0,00";"42,41";"185,47";"64,97";"254,74";"206,35";"0,00";"0,00";"0,00";"212,46";"0,00";"0,85";"4,50";"0,00";"308,40";"0,00";"59,91";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,62";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ CAKE FP";"123,760";"10";"45,21";"5.595,73";"0,01";"0,00";"0,00";"0,00";"14,31";"1.771,45";"0,01";"31,66";"86,59";"46,41";"2.999,01";"2.316,16";"0,00";"0,00";"0,00";"1.508,11";"0,00";"4,23";"36,78";"0,00";"1.771,45";"0,01";"43,34";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,62";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ CAVACA FP";"0,140";"1";"30,00";"4,20";"0,00";"0,00";"0,00";"0,00";"8,57";"1,20";"0,00";"28,57";"60,31";"37,62";"2,62";"2,09";"0,00";"0,00";"0,00";"0,91";"0,00";"0,00";"0,03";"0,00";"1,20";"0,00";"36,53";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,62";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ COLOMBA DE CHOCOLATE FP";"21,466";"1";"36,37";"780,81";"0,00";"108,86";"0,00";"13,94";"9,66";"207,34";"0,00";"26,55";"65,61";"39,62";"471,48";"345,40";"0,00";"0,00";"0,00";"228,07";"0,00";"0,53";"4,97";"0,00";"207,34";"0,00";"37,51";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,62";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ COLOMBA DE FRUTAS FP";"9,390";"2";"38,45";"361,06";"0,00";"38,96";"0,00";"10,79";"15,30";"143,65";"0,00";"39,79";"141,46";"58,59";"149,53";"111,91";"0,00";"0,00";"0,00";"105,50";"0,00";"0,22";"2,30";"0,00";"143,65";"0,00";"56,21";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,63";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ DOCES FP";"152,795";"15";"45,25";"6.914,66";"0,01";"0,00";"0,00";"0,00";"15,08";"2.304,83";"0,01";"33,33";"105,84";"51,42";"3.359,21";"2.630,32";"0,00";"0,00";"0,00";"1.979,51";"0,00";"4,35";"43,57";"0,00";"2.304,83";"0,01";"46,70";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,63";"10";"10 - BARRA : PERECIVEIS \ PADARIA \ PADARIA FABRICACAO \ FARINHA DE ROSCA FP";"143,132";"1";"10,99";"1.573,16";"0,00";"0,00";"0,00";"0,00";"3,66";"523,27";"0,00";"33,26";"163,96";"62,12";"595,99";"590,24";"0,00";"0,00";"0,00";"459,65";"0,00";"0,18";"9,87";"0,00";"523,27";"0,00";"46,99";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
